tiempo radio velocidad aceleracion temperatura pg nH2 nH nO nO2 nOH nH2O nN nNH nNH2 nNH3 nN2H nNO nNO2 nN2O nHNO nN2 nArnH2O2 nHO2 
0 0.000425 0 0 308.15 4966.57443227 975887727831 0 0 487943863915 0 3.74045608109e+14 0 0 0 0 0 0 0 0 0 0 0 0 0 
2.76750961495e-06 0.000424280870372 -0.520177832842 -188537.686677 308.664969663 4998.04754711 975887726870 2.563231353e-57 4.53223898344e-68 487943863582 2.54527602123e-63 3.73883306271e+14 0 0 0 0 0 0 0 0 0 0 0 3.07906019318e-116 1.19532862982e-144 
7.14198883103e-06 0.000420183410115 -1.35816917851 -195074.627926 311.569282208 5151.94577866 975887701122 1.33040077997e-56 2.85569230312e-67 487943854644 1.49346538436e-62 3.70837552038e+14 0 0 0 0 0 0 0 0 0 0 0 6.72061831052e-115 6.65827027764e-143 
1.05622628086e-05 0.000414376108553 -2.04364583659 -205575.549777 315.733603601 5344.94610907 975887621600 7.79812371518e-56 2.17496589999e-66 487943827039 1.14270009661e-61 3.64105034409e+14 0 0 0 0 0 0 0 0 0 0 0 1.69094801824e-113 2.61651337601e-141 
1.30000499631e-05 0.00040877160171 -2.55883875446 -216539.804214 319.871176159 5519.10820015 975887505536 4.94415985381e-55 1.8392515364e-65 487943786749 9.67472125605e-61 3.56219824799e+14 0 0 0 0 0 0 0 0 0 0 0 5.20194692862e-112 1.33399919423e-139 
1.49550349487e-05 0.000403347387275 -2.99398341306 -227913.049917 324.020201564 5682.04037797 975887360561 3.28460368901e-54 1.63974006089e-64 487943736422 8.50145196603e-60 3.47783639374e+14 0 0 0 0 0 0 0 0 0 0 0 1.77941031719e-110 8.36984368034e-138 
1.66212671605e-05 0.000398036260862 -3.38434461232 -239826.802624 328.243083192 5838.87245146 975887189878 2.24600099896e-53 1.5067446969e-63 487943677168 7.63447207415e-59 3.3899487128e+14 0 0 0 0 0 0 0 0 0 0 0 6.44314071453e-109 5.84653299426e-136 
1.80852765285e-05 0.000392819588366 -3.74526934183 -252334.432268 332.563706162 5991.89061203 975886996157 1.56441730663e-52 1.4111648844e-62 487943609914 6.95587383698e-58 3.29996155434e+14 0 0 0 0 0 0 0 0 0 0 0 2.41643500896e-107 4.34534472712e-134 
1.93952100603e-05 0.000387692869249 -4.08505204795 -265464.052013 336.993090244 6142.35022507 975886781770 1.1034814744e-51 1.33894709118e-61 487943535484 6.40222458253e-57 3.20894587784e+14 0 0 0 0 0 0 0 0 0 0 0 9.28180668181e-106 3.36399150566e-132 
2.05819197608e-05 0.000382654573594 -4.40887946904 -279239.071483 341.538373514 6291.07863476 975886548781 7.85469236811e-51 1.28241874546e-60 487943454593 5.93621985186e-56 3.11769127701e+14 0 0 0 0 0 0 0 0 0 0 0 3.62739974091e-104 2.6809868597e-130 
2.16669225279e-05 0.000377703400253 -4.72030138307 -293683.783746 346.205450377 6438.6828095 975886298980 5.6294260208e-50 1.23696290238e-59 487943367862 5.53439185262e-55 3.02677803545e+14 0 0 0 0 0 0 0 0 0 0 0 1.43616257661e-102 2.18360726759e-128 
2.26660794512e-05 0.000372837668689 -5.02189951668 -308824.931751 350.999848775 6585.63774434 975886033913 4.05595031347e-49 1.19959538184e-58 487943275827 5.18116233487e-54 2.93663277673e+14 0 0 0 0 0 0 0 0 0 0 0 5.74344036524e-101 1.80867695934e-126 
2.35915517461e-05 0.000368055251359 -5.31563771645 -324692.217193 355.927077562 6732.33173893 975885754916 2.93442733791e-48 1.16828132407e-57 487943178953 4.86573933473e-53 2.84756852322e+14 0 0 0 0 0 0 0 0 0 0 0 2.3150980091e-99 1.51822606678e-124 
2.44529437784e-05 0.000363353640314 -5.60306370137 -341318.529982 360.992789005 6879.09274139 975885463148 2.13003167723e-47 1.14157385393e-56 487943077639 4.58038720233e-52 2.75981337743e+14 0 0 0 0 0 0 0 0 0 0 0 9.39061321614e-98 1.288177472e-122 
2.52580180211e-05 0.000358730036597 -5.88543360348 -358740.121538 366.202867736 7026.20505727 975885159608 1.55021944548e-46 1.11840852655e-55 487942972233 4.31940648876e-51 2.67353130491e+14 0 0 0 0 0 0 0 0 0 0 0 3.8282567476e-96 1.10259750746e-120 
2.60131660169e-05 0.000354181431303 -6.16379302565 -376996.792794 371.563487676 7173.92062616 975884845155 1.13061766869e-45 1.09797964416e-54 487942863034 4.07850342413e-50 2.58883742055e+14 0 0 0 0 0 0 0 0 0 0 0 1.5669547753e-94 9.50566513296e-119 
2.6723731606e-05 0.000349704671194 -6.43903209812 -396132.121961 377.081154483 7322.46699768 975884520529 8.2597644456e-45 1.07966242737e-53 487942750296 3.85438428e-49 2.50580939101e+14 0 0 0 0 0 0 0 0 0 0 0 6.43437305093e-93 8.24379120537e-117 
2.73942403323e-05 0.000345296508912 -6.71192424916 -416193.742707 382.762741598 7472.05319686 975884186361 6.04219478652e-44 1.06296226256e-52 487942634239 3.64448547398e-48 2.42449604452e+14 0 0 0 0 0 0 0 0 0 0 0 2.64884304217e-91 7.1846140281e-115 
2.80285668658e-05 0.000340953640045 -6.98315437969 -437233.679021 388.615523986 7622.87417877 975883843185 4.42453146177e-43 1.0474805756e-51 487942515047 3.44678852767e-47 2.34492394051e+14 0 0 0 0 0 0 0 0 0 0 0 1.09259119212e-89 6.28694049918e-113 
2.86300601269e-05 0.000336672729355 -7.2533399415 -459308.743071 394.647211857 7775.11431766 975883491448 3.24246110005e-42 1.03289133084e-50 487942392875 3.25968996754e-46 2.26710242539e+14 0 0 0 0 0 0 0 0 0 0 0 4.51332971545e-88 5.51975403512e-111 
2.92016387074e-05 0.000332450428448 -7.5230471385 -482481.002557 400.865985668 7928.95021361 975883131517 2.37750648219e-41 1.01892448652e-49 487942267851 3.0819076531e-45 2.19102755254e+14 0 0 0 0 0 0 0 0 0 0 0 1.8663296002e-86 4.85931272116e-109 
2.97458649424e-05 0.000328283386566 -7.7928037237 -506818.326571 407.280533296 8084.55301586 975882763688 1.74391287295e-40 1.00535415042e-48 487942140076 2.91241193681e-44 2.11668513953e+14 0 0 0 0 0 0 0 0 0 0 0 7.72267112402e-85 4.28717452774e-107 
3.02650033112e-05 0.000324168255866 -8.06310939177 -532395.021085 413.900090105 8242.09040091 975882388189 1.27941262516e-39 9.9198999227e-48 487942009628 2.75037413168e-43 2.04405316311e+14 0 0 0 0 0 0 0 0 0 0 0 3.19660047447e-83 3.78882401916e-105 
3.07610671177e-05 0.000320101692237 -8.33444446699 -559292.567613 420.734482436 8401.72830569 975882005186 9.38672619282e-39 9.78670932033e-47 487941876566 2.59512719024e-42 1.97310364274e+14 0 0 0 0 0 0 0 0 0 0 0 1.32318000816e-81 3.35269864493e-103 
3.12358562673e-05 0.000316080352416 -8.60727739406 -587600.482155 427.794175069 8563.63249198 975881614785 6.88616153129e-38 9.65260469265e-46 487941740924 2.44613521653e-41 1.90380412508e+14 0 0 0 0 0 0 0 0 0 0 0 5.47569482936e-80 2.96948641386e-101 
3.16909881884e-05 0.000312100887901 -8.88207141548 -617417.315698 435.090323165 8727.97000494 975881217036 5.05065462928e-37 9.51643211577e-45 487941602720 2.30296944905e-40 1.8361188553e+14 0 0 0 0 0 0 0 0 0 0 0 2.26484817531e-78 2.63161146365e-99 
3.21279234031e-05 0.000308159936016 -9.15929073185 -648851.822353 442.634829367 8894.91057507 975880811931 3.70321304258e-36 9.37722281418e-44 487941461949 2.16528902691e-39 1.7700097006e+14 0 0 0 0 0 0 0 0 0 0 0 9.36087725125e-77 2.33285186324e-97 
3.25479868793e-05 0.000304254108347 -9.43940638749 -682024.327215 450.440406533 9064.62800787 975880399409 2.71411466049e-35 9.23417386995e-43 487941318591 2.03282537058e-38 1.70543687757e+14 0 0 0 0 0 0 0 0 0 0 0 3.86524115982e-75 2.06805211788e-95 
3.29523860307e-05 0.00030037997652 -9.72290209806 -717068.334598 458.520646978 9237.30160623 975879979355 1.98819272655e-34 9.08663400088e-42 487941172603 1.90536931961e-37 1.64235952138e+14 0 0 0 0 0 0 0 0 0 0 0 1.59415353532e-73 1.83290442972e-93 
3.33422260225e-05 0.000296534055346 -10.0102802085 -754132.425923 466.890098856 9413.1176634 975879551596 1.4555801629e-33 8.93409304855e-41 487941023925 1.7827603598e-36 1.58073612914e+14 0 0 0 0 0 0 0 0 0 0 0 6.5658842778e-72 1.62378043963e-91 
3.37185229097e-05 0.00029271278305 -10.3020679786 -793382.510522 475.564350673 9592.27107459 975879115900 1.06495656519e-32 8.77617449543e-40 487940872474 1.66487751633e-35 1.52052490023e+14 0 0 0 0 0 0 0 0 0 0 0 2.70014016505e-70 1.4376006748e-89 
3.40822150165e-05 0.000288912498318 -10.598824393 -835004.507711 484.560124893 9774.96711475 975878671977 7.7861157158e-32 8.61263024125e-39 487940718150 1.55163154184e-34 1.4616839932e+14 0 0 0 0 0 0 0 0 0 0 0 1.10849526551e-68 1.27173232307e-87 
3.44341728931e-05 0.000285129413655 -10.9011477195 -879207.56069 493.895381902 9961.42344209 975878219469 5.68830207199e-31 8.44333728158e-38 487940560825 1.4429581637e-33 1.40417171341e+14 0 0 0 0 0 0 0 0 0 0 0 4.542174985e-67 1.12390862113e-85 
3.47752081189e-05 0.000281359584462 -11.2096840684 -926227.909478 503.589435491 10151.8723961 975877757948 4.15242621966e-30 8.26829573062e-37 487940400350 1.33881215899e-32 1.34794664362e+14 0 0 0 0 0 0 0 0 0 0 0 1.85740983705e-65 9.92164788299e-84 
3.51060811793e-05 0.000277598873009 -11.5251372582 -976333.587731 513.663081575 10346.5636771 975877286910 3.0287881056e-29 8.08762816415e-36 487940236547 1.23916215367e-31 1.29296772578e+14 0 0 0 0 0 0 0 0 0 0 0 7.57879329049e-64 8.74786847402e-82 
3.54275086123e-05 0.000273842906219 -11.8482803633 -1029830.15671 524.138741838 10545.767519 975876805762 2.20739534393e-28 7.90158010645e-35 487940069209 1.1439860271e-30 1.23919430083e+14 0 0 0 0 0 0 0 0 0 0 0 3.08516635324e-62 7.70270514627e-80 
3.57401695935e-05 0.00027008702593 -12.1799694123 -1087067.75582 535.040624423 10749.7784964 975876313816 1.60745758547e-27 7.7105215785e-34 487939898094 1.05326683533e-29 1.18658611134e+14 0 0 0 0 0 0 0 0 0 0 0 1.252807549e-60 6.77288004358e-78 
3.60447121077e-05 0.000266326229929 -12.5211598313 -1148449.83812 546.394903976 10958.9201491 975875810272 1.16965969119e-26 7.5149496927e-33 487939722921 9.66989187258e-29 1.13510327076e+14 0 0 0 0 0 0 0 0 0 0 0 5.07413411835e-59 5.94661101653e-76 
3.63417588611e-05 0.000262555101438 -12.8729264143 -1214444.08449 558.229924016 11173.5506769 975875294205 8.50476902809e-26 7.31549274734e-32 487939543366 8.8513606735e-28 1.08470620014e+14 0 0 0 0 0 0 0 0 0 0 0 2.04955594361e-57 5.21339290018e-74 
